7955,Manager,12245,QA,3.1,,,,
4212,Employee,15567,QA,,,,,
6997,Employee,19202,QA,,,,,
8529,WageEmployee,48746,QA,,221,125,,
1887,WageEmployee,46174,QA,,123,190,,
3154,WageEmployee,48434,QA,,40,163,,
9105,WageEmployee,38998,QA,,205,185,,
7058,WageEmployee,14296,QA,,105,43,,
1123,WageEmployee,49699,QA,,213,174,,
2551,WageEmployee,38926,QA,,146,123,,
2956,WageEmployee,35919,QA,,280,86,,
2093,WageEmployee,15829,QA,,32,20,,
2081,WageEmployee,26333,QA,,281,161,,
1351,Manager,36949,Development,3.7,,,,
3110,WageEmployee,23155,Development,,147,40,,
4122,WageEmployee,10284,Development,,200,152,,
3256,WageEmployee,34155,Development,,75,84,,
2862,WageEmployee,12687,Development,,265,74,,
9542,WageEmployee,44006,Development,,40,188,,
7621,WageEmployee,44302,Development,,125,196,,
9177,WageEmployee,30645,Development,,136,152,,
3872,WageEmployee,27430,Development,,181,24,,
2651,WageEmployee,32826,Development,,168,32,,
5001,WageEmployee,7828,Development,,52,110,,
6696,WageEmployee,5933,Development,,66,74,,
9998,WageEmployee,16384,Development,,130,189,,
3814,WageEmployee,48855,Development,,148,95,,
6302,WageEmployee,38083,Development,,183,89,,
1916,WageEmployee,43253,Development,,155,3,,
3425,WageEmployee,42290,Development,,83,108,,
8750,WageEmployee,26929,Development,,158,28,,
8531,WageEmployee,18491,Development,,176,135,,
6439,WageEmployee,11269,Development,,292,176,,
8449,WageEmployee,18484,Development,,47,159,,
5412,WageEmployee,6451,Development,,269,121,,
8202,WageEmployee,20263,Development,,231,42,,
8431,WageEmployee,33096,Development,,234,82,,
1382,WageEmployee,17540,Development,,167,89,,
5482,WageEmployee,25488,Development,,224,24,,
9338,WageEmployee,36426,Development,,61,86,,
9623,WageEmployee,44386,Development,,152,11,,
4930,WageEmployee,24204,Development,,199,109,,
7942,WageEmployee,48808,Development,,251,188,,
6509,WageEmployee,49377,Development,,49,116,,
1567,Manager,38413,DevOps,2.6,,,,
3286,Employee,24649,DevOps,,,,,
4077,Employee,46750,DevOps,,,,,
1659,Employee,45911,DevOps,,,,,
1137,Employee,40197,DevOps,,,,,
9495,Employee,24430,DevOps,,,,,
5391,Manager,27410,Sales,2.2,,,,
8902,Employee,46535,Sales,,,,,
9208,Employee,43356,Sales,,,,,
2110,Employee,16788,Sales,,,,,
2981,Employee,24425,Sales,,,,,
1696,Employee,37848,Sales,,,,,
4990,WageEmployee,18731,Sales,,69,27,0.6,751589696594479079
9669,WageEmployee,49508,Sales,,195,57,0.3,1771664567325833423
6797,WageEmployee,13995,Sales,,167,152,0.8,7311691673657781031
